"Client","Campaign Name","Sent Date","Total Recipients","Opens","Open Rate","Clicks","Click Rate","CTR","Bounces","Unsubscriptions","Spam Complaints","Tags","Email Format","Time","Subject","Employment Status","Topic","Product Type","Date Entered","MoAf","Day","Covid","Size","Subject Length","Punctuation","lastChar","Duplicate","Techniques"
"BGCB Planned Giving","BGCB 2018-10-16 (3 of 3)",2018-10-16,2861,675,24.49,10,0.36,1.48,105,23,7,NA,NA,NA,"Create a Legacy with Your Retirement Assets","Active","Retirement Assets","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Pre-COVID","Large",43,"No","No Punctuation","No","No"
"BGCB Planned Giving","BGCB Year-End 2018-11-27 (1 of 3)",2018-12-06,2549,522,20.85,15,0.6,2.87,46,21,1,NA,NA,NA,"Meet Your Goals with a Year-End Gift","Active","Year-End","Donor-Centric
Target Mailer",NA,NA,"Thursday","Pre-COVID","Large",36,"Yes","No Punctuation","No","No"
"BGCB Planned Giving","BGCB Taxtime Mailer 2019-03-08 (2 of 3)",2019-03-12,3152,850,27.91,14,0.46,1.65,106,38,6,NA,NA,NA,"Four Things Taxpayers Should Know About Charitable Giving","Active","Tax Time","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Pre-COVID","Large",57,"No","No Punctuation","No","No"
"BGCB Planned Giving","BGCB Legacy Mailer 2019-07-09 (3 of 3)",2019-07-11,3055,612,20.63,41,1.38,6.7,89,30,0,NA,NA,NA,"A Better Future for the Next Generation","Active","Wills","Donor-Centric
Target Mailer",NA,NA,"Thursday","Pre-COVID","Large",39,"No","No Punctuation","No","No"
"BGCB Planned Giving","BGCB Taxtime Mailer 2020-03-05 (1 of 3)",2020-03-05,3076,623,20.82,22,0.74,3.53,83,19,0,NA,NA,NA,"Make a Plan to Make a Difference","Active","Tax Time","Donor-Centric
Target Mailer",NA,NA,"Thursday","Post-COVID","Large",32,"No","No Punctuation","No","No"
"BGCB Planned Giving","BGCB COVID Appeal 2021-06-15 (2 of 3)",2021-06-15,2330,628,27.3,14,0.61,2.23,30,17,0,NA,NA,NA,"Help for today. Hope for tomorrow.","Active","Retirement Assets","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Large",34,"Yes","Period","No","No"
"BGCB Planned Giving","BGCB Three Gifts 2021-09-23 (3 of 3)",2021-09-23,2416,672,28.16,86,3.6,12.8,30,14,2,NA,NA,NA,"Three Smart Ways to Make an Impact Now","Active","Mixed/Other","Donor-Centric
Target Mailer",NA,NA,"Thursday","Post-COVID","Large",38,"No","No Punctuation","No","No"
"BGCB Planned Giving","BGCB Tax Tips 2022-03-31 (1 of 3)",2022-03-31,2549,1279,50.63,78,3.09,6.1,23,19,0,NA,NA,NA,"Be a Difference Maker","Active","Tax Time","Donor-Centric
Target Mailer",NA,NA,"Thursday","Post-COVID","Large",21,"No","No Punctuation","No","No"
"BGCB Planned Giving","BGCB Wills 2022-07-12 (2 of 3)",2022-07-12,2421,1117,46.54,45,1.88,4.03,21,14,3,NA,NA,NA,"Invest in Future Generations","Active","Wills","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Large",28,"No","No Punctuation","No","No"
"BGCB Planned Giving","BGCB Tax Tips 2023-03-21 (3 of 3)",2023-03-21,3559,1700,49.32,22,0.64,1.29,112,17,2,NA,NA,NA,"Plan Now and Meet Your 2023 Goals","Active","Tax Time","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Large",33,"No","No Punctuation","No","No"
"BGCB Planned Giving","BGCB Legacy 2023-07-25 (3 of 3)",2023-07-25,3425,1816,54,31,0.92,1.71,62,23,2,NA,NA,NA,"Your Legacy. Our Mission.","Active","Wills","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Large",25,"Yes","Period","No","No"
"BGCB Planned Giving","BGCB YE 2023 (11/14/2023)",2023-11-14,1121,549,49.55,16,1.44,2.91,13,3,0,NA,NA,NA,"Year end is the perfect time to maximize your impact","Active","Year-End","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Large",52,"No","No Punctuation","No","No"
"Catholic Foundation Techniques","Good Advisor 4Q2022",2022-11-17,1219,524,49.16,192,18.01,36.64,153,15,2,NA,NA,NA,"The Good Advisor: Giving in an Uncertain Economy","Active","Mixed/Other","Professional
Advisor
Newsletter",NA,NA,"Thursday","Post-COVID","Small",48,"Yes","No Punctuation","No","Yes"
"Catholic Foundation Techniques","Good Advisor 1Q2023",2023-03-09,1131,561,52.97,209,19.74,37.25,72,10,0,NA,NA,NA,"The Good Advisor: The Right Gift for the Right Time","Active","Life Stages","Professional
Advisor
Newsletter",NA,NA,"Thursday","Post-COVID","Small",51,"Yes","No Punctuation","No","Yes"
"Catholic Foundation Techniques","Good Advisor Summer 2023",2023-08-17,1006,552,57.62,249,25.99,45.11,48,7,1,NA,NA,NA,"The Good Advisor: New Options for Giving under SECURE 2.0","Active","SECURE 2.0","Professional
Advisor
Newsletter",NA,NA,"Thursday","Post-COVID","Small",57,"Yes","No Punctuation","No","Yes"
"Catholic Foundation Techniques","Good Advisor Fall 2023 (11/28/2023)",2023-11-28,1046,536,53.07,220,21.78,41.04,36,7,0,NA,NA,NA,"The Good Advisor: Opportunities and Pitfalls","Active","Mixed/Other","Professional
Advisor
Newsletter",NA,NA,"Tuesday","Post-COVID","Small",44,"Yes","No Punctuation","No","Yes"
"Catholic Foundation Techniques","Good Advisor Winter/Spring 2024 (03/26/2024)",2024-03-26,1026,562,55.53,299,29.55,53.2,14,5,0,NA,NA,NA,"The Good Advisor: The Sunset of TCJA Provisions","Active","TCJA","Professional
Advisor
Newsletter",NA,NA,"Tuesday","Post-COVID","Small",47,"Yes","No Punctuation","No","Yes"
"Chamber Music NW","CMNW_Visions_2022-10-11",2022-10-11,4956,2644,54.71,13,0.27,0.49,123,85,9,NA,NA,NA,"Visions: a Planned Giving Newsletter from CMNW","Active","Year-End","Visions",NA,NA,"Tuesday","Post-COVID","Large",46,"Yes","No Punctuation","Yes","No"
"Chamber Music NW","CMNW_Visions_2023-03-23",2023-03-23,4904,2362,50.2,6,0.13,0.25,199,97,11,NA,NA,NA,"Visions: a Planned Giving Newsletter from CMNW","Active","Life Stages","Visions",NA,NA,"Thursday","Post-COVID","Large",46,"Yes","No Punctuation","Yes","No"
"Chamber Music NW","CMNW_Visions_2023-06-20",2023-07-14,4653,1281,27.91,8,0.17,0.62,63,39,11,NA,NA,NA,"Visions: a Planned Giving Newsletter from CMNW","Active","Mixed/Other","Visions",NA,NA,"Friday","Post-COVID","Large",46,"Yes","No Punctuation","Yes","No"
"Chamber Music NW","CMNW_Visions_2023-10-24",2023-10-24,4968,2747,56.62,21,0.43,0.76,116,79,4,NA,NA,NA,"Visions: a Planned Giving Newsletter from CMNW","Active","Year-End","Visions",NA,NA,"Tuesday","Post-COVID","Large",46,"Yes","No Punctuation","Yes","No"
"Chamber Music NW","CMNW_Visions_2024-03-21",2024-03-26,4953,176,41.71,1,0.24,0.57,4531,7,0,NA,NA,NA,"Visions: a Planned Giving Newsletter from CMNW","Active","Wills","Visions",NA,NA,"Tuesday","Post-COVID","Large",46,"Yes","No Punctuation","Yes","No"
"Chamber Music NW","CMNW_Visions_REBLAST_2024-04-12",2024-04-09,4316,1599,37.53,12,0.28,0.75,55,50,1,NA,NA,NA,"Visions: a Planned Giving Newsletter from CMNW","Active","Wills","Visions",NA,NA,"Tuesday","Post-COVID","Large",46,"Yes","No Punctuation","Yes","No"
"Chapin School","Chapin ""Bequest"" Postcard 2021-03-15 (1 of 2)",2021-03-15,1352,408,30.68,11,0.83,2.7,22,9,0,NA,NA,NA,"Make Chapin a Part of Your Legacy","Active","Wills","Donor-Centric
Postcard",NA,NA,"Monday","Post-COVID","Small",33,"No","No Punctuation","No","No"
"Chapin School","Chapin ""Year-End"" Postcard 2021-10-07 (2 of 2)",2021-10-07,1217,457,37.86,21,1.74,4.6,10,6,0,NA,NA,NA,"Thoughtful Planning. Extraordinary Impact.","Active","Year-End","Donor-Centric
Postcard",NA,NA,"Thursday","Post-COVID","Small",42,"Yes","Period","No","No"
"Chapin School","Chapin ""Legacy"" Postcard 2022-03-16 (1 of 2)",2022-03-16,1401,878,63.35,19,1.37,2.16,15,4,0,NA,NA,NA,"Strengthen Your Chapin Connection","Active","Mixed/Other","Donor-Centric
Postcard",NA,NA,"Wednesday","Post-COVID","Small",33,"No","No Punctuation","No","No"
"Chapin School","Chapin ""Year End"" Postcard 2022-10-20 (2 of 2)",2022-10-20,1386,910,66.37,13,0.95,1.43,15,5,0,NA,NA,NA,"Simple steps for you. Big impact for Chapin.","Active","Year-End","Donor-Centric
Postcard",NA,NA,"Thursday","Post-COVID","Small",44,"Yes","Period","No","No"
"Chapin School","Chapin ""Legacy"" Postcard 2023-03-21",2023-03-21,1721,1163,68.45,13,0.77,1.12,22,3,0,NA,NA,NA,"Shape Your Legacy. Nurture Our Growth.","Active","Wills","Donor-Centric
Postcard",NA,NA,"Tuesday","Post-COVID","Small",38,"Yes","Period","No","No"
"Chapin School","Chapin ""Strategic Gift"" Postcard 2023-10-19",2023-10-19,1609,1039,65.02,15,0.94,1.44,11,6,0,NA,NA,NA,"Support for Chapin. Tax Benefits for You.","Active","Retirement Assets","Donor-Centric
Postcard",NA,NA,"Thursday","Post-COVID","Small",41,"Yes","Period","No","No"
"Chapin School","Chapin ""Wills"" Postcard 2024-04-04",2024-04-04,1481,998,67.85,14,0.95,1.4,10,7,0,NA,NA,NA,"Become A Chapin Legacy Leader","Active","Wills","Donor-Centric
Postcard",NA,NA,"Thursday","Post-COVID","Small",29,"No","No Punctuation","No","No"
"Columbia Univ Med Ctr","CUMC IRA Postcard 2018-05-17",2018-05-17,3087,690,24.39,17,0.6,2.46,258,28,21,NA,NA,NA,"A Tax-Free Gift from Your IRA","Active","IRA","Donor-Centric
Postcard",NA,NA,"Thursday","Pre-COVID","Small",29,"Yes","No Punctuation","Yes","No"
"Columbia Univ Med Ctr","CUMC LIG Mailer 2018-07-26 (1 of 1)",2018-07-31,5827,905,16.73,28,0.52,3.09,419,38,15,NA,NA,NA,"Lifetime Income from a Gift? Yes! Here's How…","Active","Life Income Gifts","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Pre-COVID","Small",45,"Yes","No Punctuation","No","No"
"Columbia Univ Med Ctr","CUIMC YE Mailer 2018-12-03 (1 of 1)",2018-12-04,5318,772,15.69,10,0.2,1.3,398,32,6,NA,NA,NA,"Choose how you make a difference","Active","Year-End","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Pre-COVID","Small",32,"No","No Punctuation","No","No"
"Columbia Univ Med Ctr","CUMC IRA Postcard 2019-04 (Grateful Patient)",2019-05-02,146,41,33.88,2,1.65,4.88,25,2,0,NA,NA,NA,"A Tax-Free Gift from Your IRA","Active","IRA","Donor-Centric
Postcard",NA,NA,"Thursday","Pre-COVID","Small",29,"Yes","No Punctuation","Yes","No"
"Columbia Univ Med Ctr","CUMC IRA Postcard 2019-04 (4-Schools)",2019-05-02,3478,618,19.85,57,1.83,9.22,364,26,2,NA,NA,NA,"A Tax-Free Gift from Your IRA","Active","IRA","Donor-Centric
Postcard",NA,NA,"Thursday","Pre-COVID","Small",29,"Yes","No Punctuation","Yes","No"
"Columbia Univ Med Ctr","CUIMC Legacy Postcard 2019-08 (4-Schools)",2019-09-04,3266,608,20.42,39,1.31,6.41,289,21,2,NA,NA,NA,"Help build the future of health care.","Active","Mixed/Other","Donor-Centric
Postcard",NA,NA,"Wednesday","Pre-COVID","Small",37,"Yes","Period","No","No"
"Columbia Univ Med Ctr","CUIMC Legacy Postcard 2019-08 (Grateful Donors)",2019-09-04,132,36,30.77,1,0.85,2.78,15,0,0,NA,NA,NA,"Help build the future of medicine.","Active","Mixed/Other","Donor-Centric
Postcard",NA,NA,"Wednesday","Pre-COVID","Small",34,"Yes","Period","No","No"
"Columbia Univ Med Ctr","CUIMC CGA Mailer 2019-11",2019-12-02,3626,878,25.54,51,1.48,5.81,188,33,4,NA,NA,NA,"One Gift. Two Important Benefits.","Active","Annuities","Donor-Centric
Target Mailer",NA,NA,"Monday","Pre-COVID","Small",33,"Yes","Period","No","No"
"Columbia Univ Med Ctr","CUIMC Wills Mailer 2020-04",2020-04-08,4226,994,25.09,90,2.27,9.05,264,78,2,NA,NA,NA,"Shape Your Philanthropic Legacy","Active","Wills","Donor-Centric
Target Mailer",NA,NA,"Wednesday","Post-COVID","Small",31,"No","No Punctuation","No","No"
"Columbia Univ Med Ctr","CUIMC DAF e-Blast 2020-09-03",2020-09-03,209,70,34.83,1,0.5,1.43,8,3,0,NA,NA,NA,"Donor-advised funds: make an impact today","Active","DAF","Donor-Centric
Target Mailer",NA,NA,"Thursday","Post-COVID","Small",41,"Yes","No Punctuation","Yes","No"
"Columbia Univ Med Ctr","CUIMC DAF e-Blast 2020-10-30",2020-10-30,420,146,36.14,4,0.99,2.74,16,0,0,NA,NA,NA,"Donor-advised funds: make an impact today","Active","DAF","Donor-Centric
Target Mailer",NA,NA,"Friday","Post-COVID","Small",41,"Yes","No Punctuation","Yes","No"
"Columbia Univ Med Ctr","CUIMC IRA e-Blast 2020-11-19",2020-11-19,3017,663,22.9,6,0.21,0.9,122,16,3,NA,NA,NA,"A tax-friendly gift option for IRA owners","Active","IRA","Donor-Centric
Target Mailer",NA,NA,"Thursday","Post-COVID","Small",41,"Yes","No Punctuation","No","No"
"Columbia Univ Med Ctr","CUIMC Stock e-Blast 2020-11-24",2020-11-24,1064,277,27.95,7,0.71,2.53,73,7,0,NA,NA,NA,"Do more with your appreciated stock","Active","Stock","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Small",35,"No","No Punctuation","No","No"
"Columbia Univ Med Ctr","CUIMC 10 Taxpayer Strategies 2020 (P&S Version)",2020-12-09,549,144,26.77,1,0.19,0.69,11,0,0,NA,NA,NA,"10 Year-End Taxpayer Strategies for 2020","Active","Year-End","Donor-Centric
Target Mailer",NA,NA,"Wednesday","Post-COVID","Small",40,"Yes","No Punctuation","No","No"
"Columbia Univ Med Ctr","CUIMC 10 Taxpayer Strategies 2020 (MSPH Version)",2020-12-09,125,40,32.52,0,0,0,2,0,0,NA,NA,NA,"10 Year-End Taxpayer Strategies for 2020","Active","Year-End","Donor-Centric
Target Mailer",NA,NA,"Wednesday","Post-COVID","Small",40,"Yes","No Punctuation","No","No"
"Columbia Univ Med Ctr","CUIMC 10 Taxpayer Strategies 2020 (Dental Version)",2020-12-09,364,80,22.41,1,0.28,1.25,7,1,0,NA,NA,NA,"10 Year-End Taxpayer Strategies for 2020","Active","Year-End","Donor-Centric
Target Mailer",NA,NA,"Wednesday","Post-COVID","Small",40,"Yes","No Punctuation","No","No"
"Columbia Univ Med Ctr","CUIMC 10 Taxpayer Strategies 2020 (Nursing Version)",2020-12-09,81,30,37.97,1,1.27,3.33,2,0,0,NA,NA,NA,"10 Year-End Taxpayer Strategies for 2020","Active","Year-End","Donor-Centric
Target Mailer",NA,NA,"Wednesday","Post-COVID","Small",40,"Yes","No Punctuation","No","No"
"Columbia Univ Med Ctr","CUIMC QCD Postcard 2021-03-30",2021-03-30,2831,584,21.34,9,0.33,1.54,94,11,3,NA,NA,NA,"Give from your IRA in 2021","Active","IRA","Donor-Centric
Postcard",NA,NA,"Tuesday","Post-COVID","Small",26,"No","No Punctuation","No","No"
"Columbia Univ Med Ctr","CUIMC Stock Postcard 2021-05-12",2021-05-12,3538,921,26.97,71,2.08,7.71,123,66,4,NA,NA,NA,"Appreciated stock is a tax-wise gift.","Active","Stock","Donor-Centric
Postcard",NA,NA,"Wednesday","Post-COVID","Small",37,"Yes","Period","No","No"
"Columbia Univ Med Ctr","CUIMC_VPS_Bequest_Beneficiary_e-Blast_2021-07-09",2021-07-15,1619,446,27.7,4,0.25,0.9,9,3,0,NA,NA,NA,"Shape your philanthropic legacy by planning now.","Active","Wills","Donor-Centric
Target Mailer",NA,NA,"Thursday","Post-COVID","Small",48,"Yes","Period","No","No"
"Columbia Univ Med Ctr","CUIMC_CDM_Bequest_Beneficiary_e-Blast_2021-07-09",2021-07-15,589,133,23.46,4,0.71,3.01,22,3,0,NA,NA,NA,"Shape your philanthropic legacy by planning now.","Active","Wills","Donor-Centric
Target Mailer",NA,NA,"Thursday","Post-COVID","Small",48,"Yes","Period","No","No"
"Columbia Univ Med Ctr","CUIMC_NURSING_Bequest_Beneficiary_e-Blast_2021-07-09",2021-07-15,665,169,26.95,2,0.32,1.18,38,4,0,NA,NA,NA,"Shape your philanthropic legacy by planning now.","Active","Wills","Donor-Centric
Target Mailer",NA,NA,"Thursday","Post-COVID","Small",48,"Yes","Period","No","No"
"Columbia Univ Med Ctr","CUIMC_MAILMAN_Bequest_Beneficiary_e-Blast_2021-07-09",2021-07-15,1259,266,21.7,5,0.41,1.88,33,5,0,NA,NA,NA,"Shape your philanthropic legacy by planning now.","Active","Wills","Donor-Centric
Target Mailer",NA,NA,"Thursday","Post-COVID","Small",48,"Yes","Period","No","No"
"Columbia Univ Med Ctr","CUIMC_MAILMAN_LIG_e-Blast_2021-10-12",2021-10-12,343,89,26.73,5,1.5,5.62,10,0,0,NA,NA,NA,"Lifetime income from a gift? Yes!","Active","Life Income Gifts","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Small",33,"Yes","Exclamation","No","No"
"Columbia Univ Med Ctr","CUIMC_DENTAL_LIG_e-Blast_2021-10-12",2021-10-12,519,138,27.17,10,1.97,7.25,11,2,0,NA,NA,NA,"Lifetime income from a gift? Yes!","Active","Life Income Gifts","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Small",33,"Yes","Exclamation","No","No"
"Columbia Univ Med Ctr","CUIMC_VPS_LIG_e-Blast_2021-10-12",2021-10-12,605,189,31.5,13,2.17,6.88,5,1,0,NA,NA,NA,"Lifetime income from a gift? Yes!","Active","Life Income Gifts","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Small",33,"Yes","Exclamation","No","No"
"Columbia Univ Med Ctr","CUIMC_NURSING_LIG_e-Blast_2021-10-12",2021-10-12,665,209,32.35,8,1.24,3.83,19,2,1,NA,NA,NA,"Lifetime income from a gift? Yes!","Active","Life Income Gifts","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Small",33,"Yes","Exclamation","No","No"
"Columbia Univ Med Ctr","CUIMC YE Mailer 2021-11-18",2021-11-18,2974,1086,37.75,33,1.15,3.04,97,10,1,NA,NA,NA,"Ordinary steps. Extraordinary impact.","Active","Year-End","Donor-Centric
Target Mailer",NA,NA,"Thursday","Post-COVID","Small",37,"Yes","Period","No","No"
"Columbia Univ Med Ctr","CUIMC QCD Postcard 2022-03-15",2022-03-15,1981,795,41.78,50,2.63,6.29,78,3,4,NA,NA,NA,"Give from your IRA in 2022","Active","IRA","Donor-Centric
Postcard",NA,NA,"Tuesday","Post-COVID","Small",26,"No","No Punctuation","No","No"
"Columbia Univ Med Ctr","CUIMC Stock Postcard 2022-05-05",2022-05-05,1019,522,53.76,34,3.5,6.51,48,13,0,NA,NA,NA,"Support CUIMC. Avoid capital gains tax.","Active","Stock","Donor-Centric
Postcard",NA,NA,"Thursday","Post-COVID","Small",39,"Yes","Period","No","No"
"Columbia Univ Med Ctr","CUIMC Wills/Bequests 2022-06-14",2022-06-14,4071,1841,47.41,5,0.13,0.27,188,13,3,NA,NA,NA,"Make an impact at CUIMC with a gift in your will","Active","Wills","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Small",48,"No","No Punctuation","No","No"
"Columbia Univ Med Ctr","CUIMC CGA Rates 2022-10-11",2022-10-11,3358,1486,46.58,8,0.25,0.54,168,16,5,NA,NA,NA,"Now may be a good time for a gift to CUIMC","Active","Annuities","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Small",42,"No","No Punctuation","No","No"
"Columbia Univ Med Ctr","CUIMC_MAILMAN_YE_2022-11-30",2022-12-06,834,399,49.63,2,0.25,0.5,30,1,0,NA,NA,NA,"Simple steps. Sure results.","Active","Year-End","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Small",27,"Yes","Period","No","No"
"Columbia Univ Med Ctr","CUIMC_DENTAL_YE_2022-11-30",2022-12-06,161,81,51.59,0,0,0,4,0,0,NA,NA,NA,"Simple steps. Sure results.","Active","Year-End","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Small",27,"Yes","Period","No","No"
"Columbia Univ Med Ctr","CUIMC_NURSING_YE_2022-11-30",2022-12-06,875,456,53.65,3,0.35,0.66,25,1,2,NA,NA,NA,"Simple steps. Sure results.","Active","Year-End","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Small",27,"Yes","Period","No","No"
"Columbia Univ Med Ctr","CUIMC_PHYSICIANS_YE_2022-11-30",2022-12-06,864,471,56.21,6,0.72,1.27,26,5,1,NA,NA,NA,"Simple steps. Sure results.","Active","Year-End","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Small",27,"Yes","Period","No","No"
"Columbia Univ Med Ctr","CUIMC_DENTAL_IRA_PC_2022-01-24",2023-01-24,693,246,38.08,0,0,0,47,2,1,NA,NA,NA,"Three Reasons to Make a Gift from Your IRA","Active","IRA","Donor-Centric
Postcard",NA,NA,"Tuesday","Post-COVID","Small",42,"No","No Punctuation","No","No"
"Columbia Univ Med Ctr","CUIMC_MAILMAN_IRA_PC_2022-01-24",2023-01-24,1168,382,34.08,2,0.18,0.52,47,4,2,NA,NA,NA,"Three Reasons to Make a Gift from Your IRA","Active","IRA","Donor-Centric
Postcard",NA,NA,"Tuesday","Post-COVID","Small",42,"No","No Punctuation","No","No"
"Columbia Univ Med Ctr","CUIMC_PHYSICIANS_IRA_PC_2022-01-24",2023-01-24,866,324,38.43,1,0.12,0.31,23,0,1,NA,NA,NA,"Three Reasons to Make a Gift from Your IRA","Active","IRA","Donor-Centric
Postcard",NA,NA,"Tuesday","Post-COVID","Small",42,"No","No Punctuation","No","No"
"Columbia Univ Med Ctr","CUIMC_NURSING_IRA_PC_2022-01-24",2023-01-24,857,294,35.94,3,0.37,1.02,39,3,2,NA,NA,NA,"Three Reasons to Make a Gift from Your IRA","Active","IRA","Donor-Centric
Postcard",NA,NA,"Tuesday","Post-COVID","Small",42,"No","No Punctuation","No","No"
"Columbia Univ Med Ctr","CUIMC_MAILMAN_STOCK_PC_2023-05-10",2023-05-10,120,56,47.86,1,0.85,1.79,3,0,0,NA,NA,NA,"Make a Tax-Wise Gift of Appreciated Stock Today","Active","Stock","Donor-Centric
Postcard",NA,NA,"Wednesday","Post-COVID","Small",47,"Yes","No Punctuation","No","No"
"Columbia Univ Med Ctr","CUIMC_Med_Ctr_STOCK_PC_2023-05-10",2023-05-10,309,163,54.33,1,0.33,0.61,9,1,0,NA,NA,NA,"Make a Tax-Wise Gift of Appreciated Stock Today","Active","Stock","Donor-Centric
Postcard",NA,NA,"Wednesday","Post-COVID","Small",47,"Yes","No Punctuation","No","No"
"Columbia Univ Med Ctr","CUIMC_Dental_STOCK_PC_2023-05-10",2023-05-10,661,316,48.62,1,0.15,0.32,11,4,1,NA,NA,NA,"Make a Tax-Wise Gift of Appreciated Stock Today","Active","Stock","Donor-Centric
Postcard",NA,NA,"Wednesday","Post-COVID","Small",47,"Yes","No Punctuation","No","No"
"Columbia Univ Med Ctr","CUIMC_Med_Ctr_BEQUEST_TM_2023-06-01",2023-06-02,1182,580,49.53,2,0.17,0.34,11,7,1,NA,NA,NA,"Anyone Can Leave a Legacy","Active","Wills","Donor-Centric
Target Mailer",NA,NA,"Friday","Post-COVID","Small",25,"No","No Punctuation","No","No"
"Columbia Univ Med Ctr","CUIMC_NURSING_BEQUEST_TM_2023-06-01",2023-06-02,665,315,48.69,3,0.46,0.95,18,4,3,NA,NA,NA,"Anyone Can Leave a Legacy","Active","Wills","Donor-Centric
Target Mailer",NA,NA,"Friday","Post-COVID","Small",25,"No","No Punctuation","No","No"
"Columbia Univ Med Ctr","CUIMC_Mailman_BEQUEST_TM_2023-06-01",2023-06-02,372,185,50.41,2,0.54,1.08,5,1,1,NA,NA,NA,"Anyone Can Leave a Legacy","Active","Wills","Donor-Centric
Target Mailer",NA,NA,"Friday","Post-COVID","Small",25,"No","No Punctuation","No","No"
"Columbia Univ Med Ctr","CUIMC_Mailman_CGA_TM_2023-10-10",2023-10-10,958,357,38.43,1,0.11,0.28,29,5,0,NA,NA,NA,"A Charitable Gift Annuity Fortifies the Future","Active","Annuities","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Small",46,"No","No Punctuation","No","No"
"Columbia Univ Med Ctr","CUIMC_Dental_CGA_TM_2023-10-10",2023-10-10,116,40,36.36,1,0.91,2.5,6,0,0,NA,NA,NA,"A Charitable Gift Annuity Fortifies the Future","Active","Annuities","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Small",46,"No","No Punctuation","No","No"
"Columbia Univ Med Ctr","CUIMC_Nursing_CGA_TM_2023-10-10",2023-10-10,509,204,41.55,2,0.41,0.98,18,0,0,NA,NA,NA,"A Charitable Gift Annuity Fortifies the Future","Active","Annuities","Donor-Centric
Target Mailer",NA,NA,"Tuesday","Post-COVID","Small",46,"No","No Punctuation","No","No"
"Columbia Univ Med Ctr","CUIMC_Nursing_Year_End_2023-11-30",2023-11-30,1101,574,53.7,10,0.94,1.74,32,10,1,NA,NA,NA,"Year end is the perfect time to make a profound impact","Active","Year-End","Donor-Centric
Target Mailer",NA,NA,"Thursday","Post-COVID","Small",54,"No","No Punctuation","No","No"
"Columbia Univ Med Ctr","CUIMC_Dental_Year_End_2023-11-30",2023-11-30,495,241,49.79,2,0.41,0.83,11,1,0,NA,NA,NA,"Year end is the perfect time to make a profound impact","Active","Year-End","Donor-Centric
Target Mailer",NA,NA,"Thursday","Post-COVID","Small",54,"No","No Punctuation","No","No"
"Columbia Univ Med Ctr","CUIMC_VPS_Year_End_2023-11-30",2023-11-30,1822,901,50.9,17,0.96,1.89,52,14,0,NA,NA,NA,"Year end is the perfect time to make a profound impact","Active","Year-End","Donor-Centric
Target Mailer",NA,NA,"Thursday","Post-COVID","Small",54,"No","No Punctuation","No","No"
"Columbia Univ Med Ctr","CUIMC_Mailman_Year_End_2023-11-30",2023-11-30,812,386,49.17,6,0.76,1.55,27,5,0,NA,NA,NA,"Year end is the perfect time to make a profound impact","Active","Year-End","Donor-Centric
Target Mailer",NA,NA,"Thursday","Post-COVID","Small",54,"No","No Punctuation","No","No"
"Columbia Univ Med Ctr","CUIMC_Dental_IRA_PC_2024-01-16",2024-01-16,515,208,42.28,3,0.61,1.44,23,3,0,NA,NA,NA,"Make a big impact with a gift from your IRA.","Active","IRA","Donor-Centric
Postcard",NA,NA,"Tuesday","Post-COVID","Small",44,"Yes","Period","Yes","No"
"Columbia Univ Med Ctr","CUIMC_VPS_IRA_PC_2024-01-16",2024-01-16,2614,1239,49.05,153,6.06,12.35,88,18,2,NA,NA,NA,"Make a big impact with a gift from your IRA.","Active","IRA","Donor-Centric
Postcard",NA,NA,"Tuesday","Post-COVID","Small",44,"Yes","Period","Yes","No"
"Columbia Univ Med Ctr","CUIMC_NURSING_IRA_PC_2024-01-16",2024-01-16,509,215,44.79,2,0.42,0.93,29,2,1,NA,NA,NA,"Make a big impact with a gift from your IRA.","Active","IRA","Donor-Centric
Postcard",NA,NA,"Tuesday","Post-COVID","Small",44,"Yes","Period","Yes","No"
